datetime,PCO2_Corr_filtered,phcalc,pH_calc_norm4
2016-09-24T21:00:00Z,NaN,NA,NA
2016-09-24T20:00:00Z,NaN,NA,NA
2016-09-24T19:00:00Z,NaN,NA,NA
2016-09-24T18:00:00Z,NaN,NA,NA
2016-09-24T17:00:00Z,NaN,NA,NA
2016-09-24T16:00:00Z,NaN,NA,NA
2016-09-24T15:00:00Z,NaN,NA,NA
2016-09-24T14:00:00Z,NaN,NA,NA
2016-09-24T13:00:00Z,NaN,NA,NA
2016-09-24T12:00:00Z,NaN,NA,NA
2016-09-24T11:00:00Z,NaN,NA,NA
2016-09-24T10:00:00Z,NaN,NA,NA
2016-09-24T09:00:00Z,NaN,NA,NA
2016-09-24T08:00:00Z,NaN,NA,NA
2016-09-24T07:00:00Z,NaN,NA,NA
2016-09-24T06:00:00Z,NaN,NA,NA
2016-09-24T05:00:00Z,NaN,NA,NA
2016-09-24T04:00:00Z,NaN,NA,NA
2016-09-24T03:00:00Z,NaN,NA,NA
2016-09-24T02:00:00Z,NaN,NA,NA
2016-09-24T01:00:00Z,NaN,NA,NA
2016-09-24T00:00:00Z,NaN,NA,NA
2016-09-23T23:00:00Z,NaN,NA,NA
2016-09-23T22:00:00Z,243.6371641875,NA,NA
2016-09-23T21:00:00Z,242.41918076666667,NA,NA
2016-09-23T20:00:00Z,243.72348116326532,NA,NA
2016-09-23T19:00:00Z,242.8830003,NA,NA
2016-09-23T18:00:00Z,244.21904575,NA,NA
2016-09-23T17:00:00Z,249.00262116666667,NA,NA
2016-09-23T16:00:00Z,281.58744308163267,NA,NA
2016-09-23T15:00:00Z,NaN,NA,NA
2016-09-23T14:00:00Z,NaN,NA,NA
2016-09-23T13:00:00Z,NaN,NA,NA
2016-09-23T12:00:00Z,NaN,NA,NA
2016-09-23T11:00:00Z,241.34544267857143,NA,NA
2016-09-23T10:00:00Z,242.61047276666667,NA,NA
2016-09-23T09:00:00Z,242.40770634883722,NA,NA
2016-09-23T08:00:00Z,240.84725445,NA,NA
2016-09-23T07:00:00Z,238.80269956666666,NA,NA
2016-09-23T06:00:00Z,238.3456395,NA,NA
2016-09-23T05:00:00Z,240.09076951666665,NA,NA
2016-09-23T04:00:00Z,243.69528725,NA,NA
2016-09-23T03:00:00Z,247.57760531666668,NA,NA
2016-09-23T02:00:00Z,250.97626526666667,NA,NA
2016-09-23T01:00:00Z,253.8096013,NA,NA
2016-09-23T00:00:00Z,NaN,NA,NA
2016-09-22T23:00:00Z,250.76235446,NA,NA
2016-09-22T22:00:00Z,251.16176054545454,NA,NA
2016-09-22T21:00:00Z,255.88767511764706,NA,NA
2016-09-22T20:00:00Z,249.6377006875,NA,NA
2016-09-22T19:00:00Z,250.51629536956523,NA,NA
2016-09-22T18:00:00Z,247.0293552631579,NA,NA
2016-09-22T17:00:00Z,244.29926666666665,NA,NA
2016-09-22T16:00:00Z,245.05685087719297,NA,NA
2016-09-22T15:00:00Z,247.3374152542373,NA,NA
